Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
Aavia,Say Hello to regular periods and happy you,Aavia is an app for medication adherence. It helps in tacking pills and medications. The app syncs with its smart pill case to help take your birth control pill on time. It gives reminders and custom messaging. The case has a Bluetooth connection to track the pregnancy-related medication.,https://aavia.io/,SDG 5: Gender Equality,,,5.6,,,,,,,,,Nascent,Yes,Undisclosed,Undisclosed,,,,USA,,2018,8,,,,,,https://app.cbinsights.com/profiles/c/52eMW,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Aay's Village,"We are a small team from all around the world, working to provide children in a jungle community in Laos with the tools they need to create the future they deserve.","We welcome 150 young students to educate themselves in our Learning Lab, and we have recently initiated a plastic recycling project called Clean the Jungle.",https://www.aaysvillage.com,SDG 4: Quality Education,,,,,,,,New Social enterprise models,B2B; B2C,Emerging Markets; Frontier Markets,,Nascent,No,Unfunded,Not Applicable,,,,Laos,Bergen,2016,4,,,,,,,TRUE,FALSE,,FALSE,FALSE,a nonprofit per linkedin,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Abra,a digital wallet which supports bitcoin and over 50 fiat currencies.,a Bitcoin-based remittance application,https://www.abra.com/,SDG 1: No Poverty,,1.1 Mobile connectivity for financial inclusion,,,,,,,,United States of America,Unknown,Emerging,Yes,Acquired,"35,000,000",N/A,,High income,USA,,2014,79,,,,,,PositiveBlockchain,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0.5,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
AirFusion,Analytics tool for air borne sensor data,"Airfusion is a airborne sensor data fusion and analiytics technology company. Airfusion's platform fuses pixel based data to extract information from sensors and then analyze it real time. These findings are integrated with enterprise systems of customers to enable them to protect infrastructural assets. Airfusion partnered with Stratpro, an aerospace services company to bring to market Windspect, a turbine blade inspection software and analytics service,",airfusion.com,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,United States,Growth,Emerging,,,,N/A,,High income,USA,,2013,7,,,,,,Tracxn,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Algaia,"Is a company developing, producing and commercializing Natural Extracts, mostly made out of seaweed",,http://eviagenics.com,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,health;food,,,,,,Emerging,Yes,Series A,"4,700,000",,May/2018,,France,,2010,46,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
aligned energy,low-carbon data center cooling,"aligned energy uses a combination of techniques to cool data centers in a way that is both cost-efficient and more sustainable than traditional cooling systems. the data centres that support our online lives consume huge amounts of energy for cooling — almost 2% of the global electricity supply in 2015, resulting in great cost not only to the environment, but also to the businesses that run data centres. aligned energy offers improvements to the triple bottom line through 80% and 85% cuts in energy and water use respectively. its system has also been assessed as one of the most secure and reliable on the market, minimising chances of downtime, which can cost serious money and reputational damage in the industry. this solution was featured in keeping it cool market of the 2018 global opportunity report , and was selected based on the criteria of that report.",https://goexplorer.org/low-carbon-data-center-cooling/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,United States of America,Growth,Emerging,,,,N/A,,High income,USA,,2012,1,,,,,,Sustainia,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Abyss Ingredients,"Develops a wide range of marine ingredients designed for nutraceuticals, cosmetic, aromatic, food and feed industries",,https://www.abyss-ingredients.com/,SDG 13: Climate Action,,n/a,,,Indirect,health;food,,,,,,Nascent,Yes,Seed,"1,720,000",,Jan/2019,,France,,2004,8,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0,0,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Academias,"Academias is gespecialiseerd in op maat training, opleiding en coaching.",ACADEMIAS It’s the first platform in Morocco and Africa that offers young and working students the possibility of obtaining a Bachelor degree online from home without moving to the university each time and having difficulties with their job schedule.,https//academias.jimdo.com/,SDG 4: Quality Education,,,,,,,,,,,,Mature,,,,,,,,,,297,,,,X,,https://1millionstartups.com/search-front.php,FALSE,FALSE,,FALSE,FALSE,,1,0.66,1,0.796,Mature,,,,0,,,,,,,,,,,,,,,,,,,,,
Acadia Harvest,Producing high quality sustainable seafood.,Acadia Harvest Inc. (AHI) was formed in early 2011 to develop a land based indoor marine fish farm leveraging novel technologies to enhance recirculating aquaculture systems (RAS). Two marine biologists Chris Heinig and Tap Pryor developed a shared vision for a new Maine based aquaculture company that would address some of the technological challenges and market opportunities in the aquaculture industry. A few months later the founders invited business advisor Ed Robinson to become a full partner in the business.,http://acadiaharvest.com/,SDG 14: Life Below Water,,14.5 Sustainable Seafood Solutions,,,,,,,,United States of America,Go-to-market,Nascent,Yes,Seed,"1,200,000",1-3M,,High income,USA,,2010,Unknown,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,1,0,1,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
ACC Limited,green building centers encourage sustainable housing,"acc’s green building centers facilitate low-cost, rural housing development in india, through promotion of sustainable materials, building techniques and locally trained workforce. the green building centers across india offer locally produced, easy-to-use and reasonably priced construction products. they also provide knowledge and training on how to manufacture and use these products in a rural context, and offer quality control of building products through their own quality labs. the centers also provide equipment which enables local builders to manufacture building products themselves, helping to reduce construction costs. the centers encourage the use of sustainable construction practices, such as including fly ash (a waste product from coal combustion) in concrete, to reduce the co2-intensive cement content. anyone who wants to design and build a new house or improve an existing one can come to a green building center for assistance. danish rashid – head of green building center business while the centers are initiated and supported by acc, the company does not invest its own money in setting them up. instead, each is financed by a local entrepreneur and supported by ngos as well as acc. why you should care 70% of the indian population still lives in rural areas, and face a huge shortage of affordable housing. acc aim to have one green building center in each of india’s 650 districts in order to encourage more sustainable rural development.",https://www.acclimited.com/,SDG 13: Climate Action,,13.5 Decarbonised Buildings,,,,,,,,india,Growth,Mature,Yes,Public,Undisclosed,N/A,,Lower middle income,India,,1936,10327,,,,,,Sustainia,TRUE,FALSE,,FALSE,FALSE,,1,0.66,1,0.796,Mature,,,,0,,,,,,,,,,,,,,,,,,,,,
aclima,using google street view cars to map air pollution,"ultra-local air quality data is made accessible to all by equipping google street view cars with aclima’s mobile air quality sensing platform. aclima have partnered with google street view to collect high resolution air quality data. so far, more than 100 million data points have been collected from more than 110,000 km of roads in california and denver. the cars collect measurements of air pollutants that affect human health and impact climate change. by making new environmental air quality data available to regulators and policymakers, the initiative aims to inform decision-making at all levels. the data will also be made available to scientists and air quality experts. in addition, the public will be able to view street-level air quality maps overlaid on google earth and google maps. why you should care globally, air pollution is a growing threat to human health and the environment. who recently declared outdoor air pollution a public health emergency, with untold financial implications for governments. despite this, current measurement techniques lack the detailed and real-time accuracy required to better manage and mitigate pollution at the local level. the partnership between aclima and google to map californian communities presents an experiment to explore the benefits of hyper-local air quality data.",https://aclima.io/,SDG 13: Climate Action,,13.9 Mitigation Enablers,,,,,,,,United States of America,Unknown,Emerging,Yes,Series A,"24,000,000",N/A,,High income,USA,,2010,59,,,,,,Sustainia,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
"Acopio, Inc.",Social network to extend your professional networking,"Acopio offers tools that facilitate significant efficiency gains in cash crop industries, increase the incomes of small–scale farmers around the world, and capture source information digitally through their simple yet innovative app.",http://www.acopio.org/,SDG 2: Zero Hunger,,2.2 Digital technologies for Smallholder Farmers,,,,,,,,Nicaragua,Unknown,Nascent,Yes,Seed,"20,000",N/A,,Lower middle income,USA,,2012,12,,,,,,Agora Partners,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Active Hub,"Tackling youth unemployment and employability through mentorship, incubation and investment in innovative social enterprise start ups","Active Hub is designed to solve the twin problems of youth unemployment and employability through mentorship, incubation and investment in innovative social enterprise start ups.",http://www.ayephub.co.ke/,SDG 8: Decent Work and Economic Growth,,,,,,,,,,,,Mature,,,,,,,,,,4,,,,X,,https://1millionstartups.com/search-front.php,FALSE,FALSE,,FALSE,FALSE,,1,0.66,0,0.796,Mature,,,,0,,,,,,,,,,,,,,,,,,,,,
Altaeros,The next transformation in rural infrastructure efficiency,Altaeros mission is to deliver the next generation of infrastructure to rural and isolated communities. We combine proven technology with flight control innovations that enable cost effective autonomous deployment of tethered airborne platforms. At heights above 200m a wide range of applications become attractive. These include telecommunications power generation and technology enabled agricultural services. Leveraging its patented technology Altaeros has eliminated the need for manpower to constantly monitor and control stationary airborne platforms. We provide a cost effective reliable and environmentally friendly solution for any application that benefits from a durable stationary mid elevation platform.,http://www.altaerosenergies.com/,SDG 7: Affordable and Clean Energy,,7.2 Energy Sources,,,,,,,,United States of America,Growth,Emerging,Yes,Series B,"14,700,000",10-20M,,High income,USA,,2010,39,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Altaeros Energies,"Altaeros adapts proven aerospace technology to develop a low cost, rapid deployment wind turbine.","Altaeros is making remote wind energy possible by developing a patent-pending airborne wind turbine based on proven aerospace and wind technology. Using a helium-filed shroud adapted from the aerospace sector, the Altaeros turbine safely harnesses the immense, untapped potential of high-altitude winds. A stronger wind resource and lower installation costs will allow Altaeros to lower the cost of energy by up to 65% compared to existing diesel generators or other renewable technologies.",http://www.altaerosenergies.com,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,United States of America,Unknown,Emerging,,,,N/A,,High income,USA,,2011,Unknown,,,,,,MassChallenge,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Addis Ababa’s light-rail,light-rail promotes green transit in ethiopia,"addis ababa’s light-rail system brings efficient public transit-oriented development to ethiopia, reducing co2 emissions and commuting times in a growing city. in september 2015, addis ababa launched its much-anticipated 34-km light-rail system. expected to carry 60,000 people per hour in all directions, and handle one million commuters every day once fully operational, the project has been designed to make commuting easier for the city’s nearly four million residents. funded largely by china railway group, the project is part of the city’s larger, longer-term vision of growth and development. the light-rail line enables the ethiopian capital to manage and shape its development along transit routes, meaning less congestion, less co2 emissions from transport, and more efficient commutes for residents. why you should care addis ababa is one of the fastest-growing cities in the world , and adequate public transit is crucial to ensure the city can manage its expected future growth. this light-rail project provides an important foundation, giving the ethiopian capital a firm transit structure so that future development can occur alongside existing transit routes, reducing dependence on private vehicles and congested taxis.",https://goexplorer.org/light-rail-promotes-green-transit-in-ethiopia/,SDG 13: Climate Action,,13.4 Decarbonised Transport,,,,,,,,Ethiopia,Go-to-market,Emerging,,,,N/A,,Low income,Ethiopia,,2012,Unknown,,,,X,,Sustainia,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
AddMovement AB,AddSeat makes a perfect mobility vehicle for a more active life,,http://www.addmovement.com,SDG 10: Reduced Inequalities,#03,,,,,Health & Wellbeing,Activity services,,B2C,Developed Markets; Emerging Markets,,Nascent,Yes,Seed,"367,822",,,,Sweden,Frösön,2012,4,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
